"SeferId","Plaka","lineId","routeId","SeferBaslangıc","SeferBitis","Enlem","Boylam","KonumZamanı","Hız"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.004716","39.715065","16/12/2025 16:18:08","2.5"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.004753","39.714715","16/12/2025 16:17:58","4.17"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.004794","39.714171","16/12/2025 16:17:48","4.72"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.004779","39.713045","16/12/2025 16:17:12","1.94"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.004768","39.712483","16/12/2025 16:17:03","5.28"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.004761","39.712116","16/12/2025 16:16:58","5.28"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.004695","39.711727","16/12/2025 16:16:53","5"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.004621","39.71139","16/12/2025 16:16:48","3.06"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.004504","39.711002","16/12/2025 16:16:33","0.28"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.004356","39.710454","16/12/2025 16:16:13","0"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.004356","39.710454","16/12/2025 16:16:03","0"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.004356","39.710454","16/12/2025 16:15:58","0"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.004356","39.710454","16/12/2025 16:15:53","0"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.004356","39.710454","16/12/2025 16:15:48","0"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.004356","39.710454","16/12/2025 16:15:33","0.28"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.004345","39.71041","16/12/2025 16:15:03","0.28"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.004329","39.710347","16/12/2025 16:14:58","0.83"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.004306","39.710254","16/12/2025 16:14:53","2.78"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.004248","39.710022","16/12/2025 16:14:33","0"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.004236","39.709976","16/12/2025 16:14:08","1.11"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.00409","39.709589","16/12/2025 16:13:55","1.11"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.0047","39.70862","16/12/2025 16:13:36","5"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.005677","39.708396","16/12/2025 16:12:58","1.67"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.005792","39.708368","16/12/2025 16:12:53","3.33"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.005941","39.708332","16/12/2025 16:12:48","2.78"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.005914","39.706555","16/12/2025 16:12:18","1.39"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.005815","39.70634","16/12/2025 16:12:08","2.78"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.005778","39.706261","16/12/2025 16:11:43","0.28"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.005727","39.706145","16/12/2025 16:11:38","5.28"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.005577","39.705788","16/12/2025 16:11:33","4.72"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.005709","39.618684","16/12/2025 15:49:12","6.39"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.005765","39.618997","16/12/2025 15:49:22","0"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.005813","39.61961","16/12/2025 15:49:42","8.06"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.006014","39.620574","16/12/2025 15:49:55","5"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.006695","39.619548","16/12/2025 15:50:23","3.61"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.006782","39.619146","16/12/2025 15:50:33","1.39"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.006782","39.619146","16/12/2025 15:50:48","1.39"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.007732","39.619105","16/12/2025 15:51:18","3.89"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.007756","39.619148","16/12/2025 15:51:28","0"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.008268","39.620814","16/12/2025 15:52:08","7.5"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.007835","39.621594","16/12/2025 15:52:18","7.78"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.007582","39.621962","16/12/2025 15:52:23","8.61"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.00667","39.62298","16/12/2025 15:52:53","5.28"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.006186","39.623727","16/12/2025 15:53:04","8.61"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.005515","39.624127","16/12/2025 15:53:19","4.44"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.00546","39.6241","16/12/2025 15:53:22","3.33"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.009125","39.725994","16/12/2025 16:30:03","3.33"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.008723","39.724648","16/12/2025 16:28:48","0"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.008723","39.724648","16/12/2025 16:28:18","0"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.008723","39.724648","16/12/2025 16:28:03","0"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.008723","39.724648","16/12/2025 16:27:33","0"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.008723","39.724648","16/12/2025 16:27:18","0"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.008723","39.724648","16/12/2025 16:27:03","0"
"3895710","61ACS952","150","299","16/12/2025 15:34:34","16/12/2025 16:30:03","41.008723","39.724648","16/12/2025 16:26:48","0"
